word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,source,source_url,license
adjacent angles,ʌdʒˈeɪsʌnt ˈæŋɡʌlz,angles that share a vertex and a side without overlapping,邻角,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
air pressure,ˈɛr prˈɛʃɝ,the force of air pressing on a surface,气压,n.,,,k12_stem k12_science earth_space_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""earth_space_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
altitude,ˈæltʌtˌud,a perpendicular segment from a vertex to the opposite side or plane,高线,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
amplitude,ˈæmplʌtˌud,the maximum distance a wave moves from its rest position,振幅,n.,,,k12_stem k12_science physical_science grade_k_12 ap_stem grade_ap ap_physics_1 science physics,,,,"{""aliases"": [], ""ap_courses"": [""ap_physics_1""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-physics-1"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 92, ""k12_rank"": 6008, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physics""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
angle,ˈæŋɡʌl,a figure formed by two rays with the same endpoint,角,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
angle bisector,,a ray or segment that divides an angle into two equal angles,角平分线,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
arc,ˈɑrk,part of the circumference of a circle,弧,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
area,ˈɛriʌ,the number of square units covering a surface,面积,n.,,,k12_stem k12_math measurement grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""measurement""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
arithmetic sequence,ˌɛrɪθmˈɛtɪk sˈikwʌns,a sequence with a constant difference between terms,等差数列,n.,,,k12_stem k12_math functions grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""functions""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
asexual reproduction,eɪsˈɛksjuʌl rˌiprʌdˈʌkʃʌn,reproduction involving one parent and no joining of sex cells,无性生殖,n.,,,k12_stem k12_science life_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""life_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
asteroid,ˈæstɝˌɔɪd,a small rocky object that orbits the Sun,小行星,n.,,,k12_stem k12_science earth_space_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""earth_space_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
atmosphere,ˈætməsfɪr,the layer of gases surrounding Earth or another planet,大气层,n.,,,k12_stem k12_science earth_space_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""earth_space_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
atom,ˈætʌm,the smallest unit of an element that keeps that element's properties,原子,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
axis,ˈæksʌs,an imaginary line around which an object rotates,轴；地轴,n.,,,k12_stem k12_science earth_space_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""earth_space_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
bacteria,bæktˈɪriʌ,single-celled microorganisms without a nucleus,细菌,n.,,,k12_stem k12_science life_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""life_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
balanced forces,bˈælʌnst fˈɔrsɪz,forces that cancel each other and do not change motion,平衡力,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
bar graph,bˈɑr ɡrˈæf,a graph using bars to compare categories,条形图,n.,,,k12_stem k12_math statistics_probability grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/Content/mathematics-glossary/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""statistics_probability""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/Content/mathematics-glossary/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
base,bˈeɪs,the number repeatedly multiplied in a power; a reference side or face in geometry; a substance with pH greater than 7 in chemistry,底数；底边；底面；碱,n.,,,k12_stem k12_math number grade_k_8 geometry physical_science ap_stem grade_ap ap_chemistry science chemistry,,,,"{""aliases"": [], ""ap_courses"": [""ap_chemistry""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-chemistry"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""note"": ""Includes math power, geometry, and chemistry senses."", ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""chemistry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
benchmark,bˈɛntʃmˌɑrk,a familiar value used as a reference for comparison,基准值；参照值,n.,,,k12_stem k12_math number grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""number""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
binomial,baɪnˈoʊmiʌl,an expression with two terms,二项式,n.,,,k12_stem k12_math algebra grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""algebra""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
biodiversity,bˌaɪoʊdaɪvˈɝsʌti,the variety of living things in an area,生物多样性,n.,,,k12_stem k12_science life_science grade_k_12 ap_stem grade_ap ap_environmental_science science environmental_science,,,,"{""aliases"": [], ""ap_courses"": [""ap_environmental_science""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-environmental-science"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 88, ""k12_rank"": 6012, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""environmental_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
biosphere,bˈaɪoʊsfˌɪr,all regions of Earth where life exists,生物圈,n.,,,k12_stem k12_science earth_space_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""earth_space_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
box plot,bˈɑks plˈɑt,"a display that shows median, quartiles, and extremes of a data set",箱线图,n.,,,k12_stem k12_math statistics_probability grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/Content/mathematics-glossary/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""statistics_probability""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/Content/mathematics-glossary/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
capacity,kʌpˈæsʌti,the amount a container can hold,容量,n.,,,k12_stem k12_math measurement grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""measurement""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
carbon dioxide,kˈɑrbʌn daɪˈɑksˌaɪd,a gas produced by respiration and used in photosynthesis,二氧化碳,n.,,,k12_stem k12_science life_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""life_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
carnivore,kˈɑrnɪvˌɔr,an animal that eats other animals,食肉动物,n.,,,k12_stem k12_science life_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""life_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
causation,kˌɔzˈeɪʃʌn,a relationship in which one event produces another,因果关系,n.,,,k12_stem k12_math statistics_probability grade_6_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/Content/mathematics-glossary/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""6-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""statistics_probability""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/Content/mathematics-glossary/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
cell,sˈɛl,the smallest unit of life,细胞,n.,,,k12_stem k12_science life_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""life_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
cell membrane,sˈɛl mˈɛmbrˌeɪn,a thin barrier that controls what enters and leaves a cell,细胞膜,n.,,,k12_stem k12_science life_science grade_k_12 ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_courses"": [""ap_biology""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
cell wall,sˈɛl wˈɔl,a rigid outer layer that supports some cells,细胞壁,n.,,,k12_stem k12_science life_science grade_k_12 ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_courses"": [""ap_biology""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
cellular respiration,sˈɛljʌlɝ rˌɛspɝˈeɪʃʌn,the process cells use to release energy from food,细胞呼吸,n.,,,k12_stem k12_science life_science grade_k_12 ap_stem grade_ap ap_biology science biology,,,,"{""aliases"": [], ""ap_courses"": [""ap_biology""], ""coverage_source_url"": ""https://apcentral.collegeboard.org/courses/ap-biology"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""AP"", ""k12_priority"": 95, ""k12_rank"": 6005, ""phonetic_source"": ""leave blank for ECDICT/CMUdict enrichment unless already present"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""biology""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
center,sˈɛntɝ,the point equally distant from all points on a circle or sphere,中心,n.,,,k12_stem k12_math geometry grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""geometry""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
centimeter,sˈɛntʌmˌitɝ,one hundredth of a meter,厘米,n.,,,k12_stem k12_math measurement grade_k_8,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.thecorestandards.org/Math/"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-8"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""math"", ""topic"": ""measurement""}",,WordFan_K12_STEM,https://www.thecorestandards.org/Math/,WordFan original definitions/translations; coverage informed by public standards/glossary sources
chemical change,kˈɛmʌkʌl tʃˈeɪndʒ,a change that creates one or more new substances,化学变化,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
chemical property,kˈɛmʌkʌl prˈɑpɝti,a characteristic that describes how a substance reacts to form new substances,化学性质,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
chemical reaction,kˈɛmʌkʌl riˈækʃʌn,a process in which substances change into new substances,化学反应,n.,,,k12_stem k12_science physical_science grade_k_12,,,,"{""aliases"": [], ""coverage_source_url"": ""https://www.nextgenscience.org/search-standards"", ""definition_policy"": ""WordFan original concise learner definition"", ""grade_band"": ""K-12"", ""phonetic_source"": ""CMUdict/local approximate IPA when available; manual fill for selected STEM terms"", ""priority"": 80, ""subject"": ""science"", ""topic"": ""physical_science""}",,WordFan_K12_STEM,https://www.nextgenscience.org/search-standards,WordFan original definitions/translations; coverage informed by public standards/glossary sources
